,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.92,39.2,80,96,11.41,CL,1590600013
1,butaritari,3.07,172.79,81.18,77,94,6.73,KI,1590600014
2,klaksvik,62.23,-6.59,48.2,81,89,11.41,FO,1590600014
3,lebu,-37.62,-73.65,56.73,71,0,18.1,CL,1590600015
4,lake elsinore,33.67,-117.33,84.0,48,0,1.01,US,1590600016
5,hithadhoo,-0.6,73.08,83.89,78,14,10.89,MV,1590600016
6,rikitea,-23.12,-134.97,75.58,83,0,10.42,PF,1590600017
7,nikolskoye,59.7,30.79,64.99,42,52,8.95,RU,1590600018
8,altay,47.87,88.12,55.33,52,19,8.72,CN,1590600019
9,puerto ayora,-0.74,-90.35,78.8,78,40,9.17,EC,1590600019
10,tombouctou,20.0,-3.0,104.92,12,97,2.8,ML,1590600020
11,zhezkazgan,47.8,67.71,70.14,41,0,16.51,KZ,1590600021
12,gamba,-2.65,10.0,78.37,83,98,8.84,GA,1590600021
13,victoria,22.29,114.16,81.0,86,28,1.99,HK,1590600022
14,te anau,-45.42,167.72,39.96,81,11,0.67,NZ,1590600022
15,batemans bay,-35.72,150.18,46.99,100,92,3.36,AU,1590600023
16,amazar,53.86,120.88,54.81,57,100,2.68,RU,1590600023
17,yellowknife,62.46,-114.35,45.0,39,20,6.93,CA,1590600024
18,avarua,-21.21,-159.78,69.8,88,21,2.24,CK,1590600024
19,tasiilaq,65.61,-37.64,41.0,65,75,11.41,GL,1590600025
20,hamilton,39.18,-84.53,82.0,57,75,5.82,US,1590600025
21,bredasdorp,-34.53,20.04,55.4,62,56,11.41,ZA,1590600027
22,longyearbyen,78.22,15.64,46.4,65,75,11.41,SJ,1590600027
23,geraldton,-28.77,114.6,60.8,77,90,9.17,AU,1590600027
24,polonnaruwa,7.93,81.0,82.47,68,78,10.27,LK,1590600028
25,arman,59.7,150.17,36.91,80,14,3.67,RU,1590600028
26,enterprise,36.03,-115.24,95.0,13,20,5.82,US,1590600029
27,constitucion,-35.33,-72.42,60.89,72,9,5.39,CL,1590600029
28,khani,41.96,42.96,68.0,82,4,4.7,GE,1590600030
29,pacific grove,36.62,-121.92,79.0,64,1,4.7,US,1590600030
30,sorong,-0.88,131.25,79.5,85,94,5.59,ID,1590600031
31,chuy,-33.7,-53.46,61.77,55,0,4.25,UY,1590600031
32,torbay,47.67,-52.73,48.0,75,75,11.41,CA,1590600032
33,bluff,-46.6,168.33,43.11,88,9,5.44,NZ,1590600033
34,richards bay,-28.78,32.04,58.19,49,16,4.76,ZA,1590600033
35,mataura,-46.19,168.86,37.08,93,0,2.37,NZ,1590600034
36,novopokrovka,49.84,36.55,58.23,86,96,6.22,UA,1590600034
37,buraydah,26.33,43.98,98.6,17,13,6.93,SA,1590599825
38,nizwa,22.93,57.53,95.68,20,95,2.15,OM,1590600035
39,qaanaaq,77.48,-69.36,31.51,93,53,5.26,GL,1590600035
40,pisco,-13.7,-76.22,66.99,82,90,8.05,PE,1590600036
41,tuktoyaktuk,69.45,-133.04,26.6,100,90,10.29,CA,1590600036
42,bud,39.45,-86.18,79.0,69,90,8.05,US,1590600037
43,ushuaia,-54.8,-68.3,39.2,72,98,4.7,AR,1590600037
44,khatanga,71.97,102.5,30.96,90,100,10.67,RU,1590599946
